Full News,Prompt,Topic,Link
"ভয়াবহ বিস্ফোরণের ক্ষত না শুকাতেই আবারও বড় ধরনের অগ্নিকাণ্ডের ঘটনা ঘটেছে লেবাননের রাজধানী বৈরুতে। বৃহস্পতিবার (১০ সেপ্টেম্বর) বৈরুতের বন্দরে তেল এবং টায়ারের একটি গুদামে অগ্নিকাণ্ডের ঘটনা ঘটে।

বন্দরের শুল্কমুক্ত অঞ্চলে আগুনের সূত্রপাত। এতে শহরের আকাশে বিশাল কালো ধোঁয়ার কুণ্ডলি দেখা যায়। আগুনের কারণ তাৎক্ষণিকভাবে নিশ্চিত হওয়া যায়নি বলে জানায় দেশটির সেনাবাহিনী। বন্দরে অগ্নিনির্বাপণ কর্মীরা আগুন নেভানোর চেষ্টা করছেন।

এর আগে গত ৪ আগস্ট বৈরুতের বন্দরের কাছে একটি রাসায়নিক গুদামে ভয়াবহ বিস্ফোরণ ও অগ্নিকাণ্ডের ঘটনা ঘটে। বৈরুতকে ছিন্নভিন্ন করে দেয়া সেই বিস্ফোরণের ক্ষতও এখনও বয়ে বেড়াচ্ছেন বাসিন্দারা। এতে অন্তত ১৯০ জনের প্রাণহানি ও আরও অনেকে আহত হন। বন্দরে কয়েক বছর ধরে অবৈধভাবে মজুত করে রাখা অ্যামোনিয়াম নাইট্রেটের গুদামে বিস্ফোরণ ঘটলে হতাহতের ঘটনা ঘটে।",ভয়াবহ বিস্ফোরণের ক্ষত না শুকাতেই আবারও বড় ধরনের অগ্নিকাণ্ডের ঘটনা ঘটেছে লেবাননের রাজধানী বৈরুতে। বৃহস্পতিবার (১০ সেপ্টেম্বর) বৈরুতের বন্দরে তেল এবং টায়ারের একটি গুদামে,আন্তর্জাতিক,
"সামনেই প্রেসিডেন্ট নির্বাচন। তার ঠিক আগে আগেই, ২০২১ সালে শান্তিতে নোবেল পুরস্কারের জন্য মনোনীত হলেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প। মার্কিন প্রেসিডেন্টের নাম প্রস্তাব করেছেন নরওয়ের পার্লামেন্টের সদস্য ক্রিশ্চিয়ান টাইব্রিং-গেড্ডে। মার্কিন টিভি চ্যানেল ‘ফক্স নিউজ’ সূত্রে এ খবর জানা গিয়েছে।
গত আগস্টেই নাটকীয় ভাবে কূটনৈতিক সম্পর্ক স্থাপনের ঘোষণা করে ইজরায়েল এবং সংযুক্ত আরব আমিরশাহির মতো দুটি দেশ। দুই দেশের মধ্যে মধ্যস্থতাকারী হিসাবে কাজ করেন ডোনাল্ড ট্রাম্প। সেই ঘটনাকে সামনে রেখেই ট্রাম্পকে মনোনীত করেছেন নরওয়ের পার্লামেন্টের চার বারের সদস্য ক্রিশ্চিয়ান টাইব্রিং-গেড্ডে। তিনি আবার নেটোয় নরওয়ের প্রতিনিধি দলের চেয়ারম্যানও বটে।
`ফক্স নিউজকে গেড্ডে বলেছেন, ‘‘আমার মনে হয়, তিনি (ডোনাল্ড ট্রাম্প) দু’টি দেশের মধ্যে সম্পর্ক স্থাপনের চেষ্টা করেছেন, যেরকম কাজ নোবেল পুরস্কারের জন্য মনোনীত অন্যান্য ব্যক্তিরা করে থাকেন।’’ ইজরায়েল এবং সংযুক্ত আরব আমিরশাহির প্রসঙ্গ টেনে গেড্ডে নোবেল কমিটিকে লিখছেন, ‘‘এটা আশা করা হচ্ছে যে মধ্যপ্রাচ্যের বাকি দেশগুলি সংযুক্ত আরব আমিরশাহির উদাহরণ অনুসরণ করবে। এই চুক্তি মধ্যপ্রাচ্যে সহযোগিতা এবং উন্নয়নের প্রতিষ্ঠার ক্ষেত্রে গেম চেঞ্জার হয়ে উঠতে পারে।’’
স্বাভাবিক সম্পর্ক স্থাপনে রাজি ইজরায়েল এবং সংযুক্ত আরব আমিরশাহি— গত ১৩ অগস্ট এ কথা ঘোষণা করেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প। তাঁর সঙ্গে যৌথ বিবৃতি দেন ইজরায়েলের প্রধানমন্ত্রী বেঞ্জামিন নেতানিয়াহু এবং আবুধাবির ক্রাউন প্রিন্স মোহাম্মদ আল নাহিয়ান। এই নিয়ে এটা  ইজরায়েলের সঙ্গে তৃতীয় কোন আরব রাষ্ট্রের শান্তি চুক্তি স্থাপিত হল। এর আগে ১৯৭৯ সালে  মিশর এবং ১৯৯৪ সালে জর্ডনের সঙ্গে ইজরায়েলের কূটনৈতিক সম্পর্ক স্থাপিত হয়েছে।
নভেম্বরেই আমেরিকায় প্রেসিডেন্ট নির্বাচন। ডোনাল্ড ট্রাম্পের বিরুদ্ধে প্রার্থী জো বাইডেন। তার ঠিক আগে আগেই এমন চমক। অবশ্য এই প্রথম নয়, ক্ষমতায় আসার পর সমস্ত জল্পনা উড়িয়ে উত্তর কোরিয়ার শাসক কিং জঙ উনের সঙ্গে সাক্ষাৎ করেন তিনি। কোরীয় উপদ্বীপে সংঘাতের আবহ কাটাতে উদ্যোগও নেন। ভারত এবং পাকিস্তানের মধ্যে মধ্যস্থতা করার প্রস্তাব দিয়েছিলেন ট্রাম্প। এমনকি ভারত এবং চিন নিয়েও তিনি একই সুরে কথা বলেছিলেন।","সামনেই প্রেসিডেন্ট নির্বাচন। তার ঠিক আগে আগেই, ২০২১ সালে শান্তিতে নোবেল পুরস্কারের জন্য মনোনীত হলেন মার্কিন প্রেসিডেন্ট ডোনাল্ড ট্রাম্প। মার্কিন প্রেসিডেন্টের নাম প্রস্তাব করেছেন",আন্তর্জাতিক,
"আফগানিস্তানের রাজধানী কাবুলে দেশটির প্রথম ভাইস প্রেসিডেন্ট আমরুল্লাহ সালেহকে লক্ষ্য করে বোমা হামলা চালিয়েছে সন্ত্রাসীরা। এ সময় তিনি অল্পের জন্য প্রাণে বেঁচে গেলেও নিহত হয়েছেন চার জন এবং আহত হয়েছে কমপক্ষে ২০ জন। খবর রয়টার্সের

০৯ সেপ্টেম্বর ২০২০ বুধবার সকালে কাবুলের রাস্তার পাশে ওই বিস্ফোরণ ঘটানো হয়। ভাইস প্রেসিডেন্টের মুখপাত্র রাজওয়ান মুরাদ ফেসবুকে এক পোস্টে জানান, আফগান ভাইস প্রেসিডেন্টের গাড়িবহর লক্ষ্য করে রাস্তার পাশে পুঁতে রাখা বোমার বিস্ফোরণ ঘটানো হয়। এতে সালেহের বেশ কয়েকজন দেহরক্ষী আহত হয়েছেন।

এখনও পর্যন্ত কোনও গোষ্ঠী এ হামলার দায় স্বীকার করেনি। সরকারিভাবেও এখনও কাউকে দায়ী করা হয়নি। দেশটিতে তালেবানের সাথে শান্তি আলোচনা চলাকালীন এ হামলার ঘটনা ঘটলো।",আফগানিস্তানের রাজধানী কাবুলে দেশটির প্রথম ভাইস প্রেসিডেন্ট আমরুল্লাহ সালেহকে লক্ষ্য করে বোমা হামলা চালিয়েছে সন্ত্রাসীরা। এ সময় তিনি অল্পের জন্য প্রাণে বেঁচে গেলেও নিহত হয়েছেন,আন্তর্জাতিক,
"অক্সফোর্ড বিশ্ববিদ্যালয় এবং ওষুধ প্রস্তুতকারী প্রতিষ্ঠান অ্যাস্ট্রাজেনেকা মিলে করোনাভাইরাসের যে টিকাটির চূড়ান্ত পরীক্ষা করছিল, একজন অংশগ্রহণকারী অসুস্থ হয়ে পড়ার পর সেটি স্থগিত করা হয়েছে।

ব্যাখ্যা করা যায় না, এমন অসুস্থতার কারণে এরকম বিরতিকে ‘রুটিন’ কাজের অংশ হিসাবে বর্ণনা করেছে অ্যাস্ট্রাজেনেকা। এই টিকার ফলাফলের দিকে সারা বিশ্বই তাকিয়ে রয়েছে।

করোনাভাইরাসের টিকা উৎপাদনে বিশ্ব জুড়ে যেসব চেষ্টা চলছে, তার মধ্যে অ্যাস্ট্রাজেনেকা-অক্সফোর্ড বিশ্ববিদ্যালয়ের টিকা সবচেয়ে সম্ভাবনাময় হিসাবে দেখা হচ্ছে। সফলভাবে প্রথম ও দ্বিতীয় ধাপের পরীক্ষা সম্পন্ন হওয়ায় প্রত্যাশা করা হচ্ছে যে, এই টিকাটি সবার আগে বাজারে আসবে।

যুক্তরাষ্ট্র, যুক্তরাজ্য, ব্রাজিল এবং দক্ষিণ আফ্রিকা জুড়ে ৩০ হাজার অংশগ্রহণকারীদের ওপর তৃতীয় ধাপের পরীক্ষা চালানো হচ্ছে। তৃতীয় ধাপের পরীক্ষায় হাজার হাজার মানুষের ওপর পরীক্ষা চালানো হয়ে থাকে। অনেক সময় সেটা কয়েক বছর ধরেও চলতে পারে।

পরীক্ষার বিষয়ে কী বলা হচ্ছে?
এই টিকাটির সব ধরণের আন্তর্জাতিক পরীক্ষা স্থগিত থাকবে, যতদিন না স্বতন্ত্র একজন পরীক্ষক এর নিরাপত্তার বিষয়গুলো যাচাই করে দেখবেন। এরপর তদারকি কর্তৃপক্ষ সিদ্ধান্ত নেবেন যে, পুনরায় পরীক্ষা কার্যক্রম শুরু করা হবে কিনা। বিবিসির স্বাস্থ্য বিষয়ক সম্পাদক ফার্গুস ওয়ালশ এই তথ্য জানিয়েছেন।

”বড় ধরণের পরীক্ষায় অনেক সময় অসুস্থ হয়ে পড়ার ঘটনা ঘটে। তবে সেটা অবশ্যই স্বতন্ত্র একজন পরীক্ষককে সতর্কভাবে যাচাই করে দেখতে হবে,” অক্সফোর্ড ইউনিভার্সিটির একজন মুখপাত্র জানিয়েছেন।

সংবাদদাতারা বলছেন, অক্সফোর্ডের এই টিকাটির পরীক্ষা এর আগেও একবার স্থগিত করা হয়েছিল। বড় ধরণের পরীক্ষায় এ ধরণের ঘটনা অনেক সময় ঘটে থাকে। যখন কোন অংশগ্রহণকারীর অসুস্থতার কারণ তাৎক্ষনিকভাবে শনাক্ত করা সম্ভব হয়না, তখন অনেক সময় তাদের হাসপাতালেও ভর্তি করা হয়। তবে ধারণা করা হচ্ছে, কয়েকদিনের মধ্যেই আবার পরীক্ষার কার্যক্রম শুরু করা হবে।

যে স্বাস্থ্য বিষয়ক সংবাদমাধ্যম প্রথম এই খবরটি প্রকাশ করেছে, সেই স্ট্যাট নিউজ জানিয়েছে, যুক্তরাজ্যের একজন অংশগ্রহণকারীর শরীরে প্রতিক্রিয়া দেখা দেয়, তাৎক্ষণিকভাবে যার কারণ জানা যায়নি। তবে তিনি খুব তাড়াতাড়ি সুস্থ হয়ে উঠবেন বলে আশা করা হচ্ছে। সূত্র: বিবিসি","অক্সফোর্ড বিশ্ববিদ্যালয় এবং ওষুধ প্রস্তুতকারী প্রতিষ্ঠান অ্যাস্ট্রাজেনেকা মিলে করোনাভাইরাসের যে টিকাটির চূড়ান্ত পরীক্ষা করছিল, একজন অংশগ্রহণকারী অসুস্থ হয়ে পড়ার পর সেটি স্থগিত",আন্তর্জাতিক,
"লাদাখ সীমান্ত থেকে চীন-ভারত উভয় দেশই নিজ নিজ সেনা সরিয়ে নেওযার ব্যাপারে সম্মত হয়েছে। রাশিয়ায় দুই দেশের পররাষ্ট্রমন্ত্রী পর্যায়ের শীর্ষ বৈঠক থেকে এমন সিদ্ধান্ত হয়েছে বলে জানিয়েছে হিন্দুস্থান টাইমস।

লাদাখ পরিস্থিতি নিয়ে ভারতীয় পররাষ্ট্রমন্ত্রী এস জয়শংকর ও চীনের পররাষ্ট্র মন্ত্রী ওয়াং ই এর মধ্যে প্রায় আড়াই ঘণ্টা ধরে বৈঠক হয় বৃহস্পতিবার।

বৈঠকে উভয়ে সীমান্তবর্তী অঞ্চলের বর্তমান অস্বাভাবিক পরিস্থিতি কারো স্বার্থের জন্যই ভালো নয় বলে সম্মত হয়েছেন এবং সীমান্ত সংকট সমাধানে আলোচনা অব্যাহত রাখা, ধীরে ধীরে নিজেদের সেনাদেরকে স্থায়ী ছাউনিতে ফিরে নেওয়া, সীমান্তে যথাযথ নিয়ম মেনে চলা এবং উত্তেজনা হ্রাসের পক্ষে মত দিয়েছেন।

বৈঠক থেকে আরও জানা যায়, বৈঠকে চীনের পররাষ্ট্রমন্ত্রী জানান, চীন কূটনৈতিক কর্মকাণ্ডের মাধ্যমে ভারতের সাথে যোগাযোগ বজায় রাখবে এবং বিতর্কিত সীমান্ত অঞ্চলে শান্তি ফিরিয়ে আনার ব্যাপারে প্রতিশ্রুতিবদ্ধ।

দুই দেশের সীমান্ত সংকট নিরসনে বৈঠকটি অনুষ্ঠিত হয় রাশিয়ার রাজধানীতে মস্কোতে।

লাদাখ সীমান্তে ১৫ জুন রাতে চীন ও ভারতীয় সৈন্যদের মধ্যে রক্তক্ষয়ী এক সংঘর্ষের পর দুই দেশের প্রভাবশালী মন্ত্রী এই প্রথম গুরুত্বপূর্ণ বৈঠকে মুখোমুখি হলেন।",লাদাখ সীমান্ত থেকে চীন-ভারত উভয় দেশই নিজ নিজ সেনা সরিয়ে নেওযার ব্যাপারে সম্মত হয়েছে। রাশিয়ায় দুই দেশের পররাষ্ট্রমন্ত্রী পর্যায়ের শীর্ষ বৈঠক থেকে,আন্তর্জাতিক,
"যুক্তরাষ্ট্রের নিউইয়র্কের টুইন টাওয়ারে ভয়াবহ সন্ত্রাসী হামলার ১৯তম বার্ষিকী আজ। ১৯ বছর আগে ২০০১ সালের এ দিনে টুইন টাওয়ারে ইতিহাসের বিভীষিকাময় আত্মঘাতী বিমান হামলা চালায় জঙ্গি গোষ্ঠী আল কায়েদা।

ওই হামলায় নিহত হয় প্রায় ৩ হাজার মানুষ। এরপর থেকে বিশ্বব্যাপী যুক্তরােষ্ট্রর নেতৃত্বাধীন সন্ত্রাসবিরোধী অভিযান শুরু হয়।

নিউইয়র্কের স্থানীয় সময় তখন সকাল পৌনে নয়টা। চারটি মার্কিন যাত্রীবাহী উড়োজাহাজ ছিনতাই করে তার মধ্যে দু’টো নিয়ে টুইন টাওয়ারে হামলা চালায় আল কায়েদা। গুঁড়িয়ে যায় ওয়ার্ল্ড ট্রেড সেন্টারের ভবন দু’টি।

যুক্তরােষ্ট্রর এয়ারলাইন্সের ছিনতাই করা আরেকটি উড়োজাহাজ নিয়ে হামলা চালানো হয় মার্কিন প্রতিরক্ষা সদর দপ্তর পেন্টাগনে। আর যাত্রীদের বাধায় নির্ধারিত স্থানে হামলা চালাতে ব্যর্থ হয়ে পেনসিলভেনিয়ার আকাশে বিধ্বস্ত হয় চতুর্থ প্লেনটি।

ইতিহাসের ভয়াবহ এই হামলায় প্রাণ হারান প্রায় তিন হাজার মানুষ। এতে বদলে যায় বিশ্ব রাজনীতি। নাইন-ইলেভেনের হামলার পরপরই যুক্তরাষ্ট্রের অর্থনীতিতে ব্যাপক নেতিবাচক প্রভাব পড়ে। হামলার পর প্রথম দিনেই নিউইয়র্ক স্টক এক্সেচেঞ্জে বড় ধস নামে। এক মাসেই চাকরি হারান ১ লাখ ৪৩ হাজার মানুষ। ওয়ার্ল্ড ট্রেড সেন্টারে হামলায় সব মিলে আনুমানিক ৬০ বিলিয়ন মার্কিন ডলার সমমূল্যের ক্ষতি হয়েছিল বলে ধারণা করা হয়।

এছাড়া ঘটনার পর থেকেই সারাবিশ্বে সন্ত্রাস ও ইসলামি জঙ্গি দমন অভিযানে নামে যুক্তরাষ্ট্র। আল কায়েদা নেতা ওসামা বিন লাদেনকে ২০১১ সালে পাকিস্তানের অ্যাবোটাবাদে হত্যা করে মার্কিন বিশেষ বাহিনী ‘নেভি সিল’৷ এতে আল কায়েদা অনেকটা দুর্বল হলেও বিশ্বজুড়ে মাথা তুলে দাঁড়িয়েছে একাধিক জঙ্গি সংগঠন।",যুক্তরাষ্ট্রের নিউইয়র্কের টুইন টাওয়ারে ভয়াবহ সন্ত্রাসী হামলার ১৯তম বার্ষিকী আজ। ১৯ বছর আগে ২০০১ সালের এ দিনে টুইন টাওয়ারে ইতিহাসের বিভীষিকাময় আত্মঘাতী বিমান হামলা,আন্তর্জাতিক,
"শক্তিশালী টাইফুন হাইশেন জাপানে আঘাত হানার পর সোমবার দক্ষিণ কোরিয়ার দিকে ধেয়ে যাচ্ছে। টাইফুনের প্রভাবে জাপানে প্রবল বাতাস ও ব্যাপক বৃষ্টিপাত হয়েছে। এছাড়া লাখ লাখ লোককে অন্যত্র সরিয়ে নেয়ার সতর্কতাও জারি করতে হয়েছে।

তবে আশংকার চেয়ে জাপানে টাইফুনের কারণে ক্ষয়ক্ষতি কম হয়েছে। দেশটির দক্ষিণাঞ্চলীয় কেউশু দ্বীপের শত শত বাড়িঘর বিদ্যুৎ বিহীন হয়ে পড়েছে। এছাড়া বেশকিছু লোক সামান্য আহত হয়েছে বলে সম্প্রচার কেন্দ্র এনএইচকে জানিয়েছে।

এদিকে টাইফুন শক্তিশালী রূপ নিতে পারে এই আশংকায় শত শত ফ্লাইট বাতিল ও ট্রেন চলাচল বন্ধ করে দেয়া হয়েছিল। কিন্তু সোমবার সকাল থেকেই সব দ্রুত স্বাভাবিক হতে শুরু করে। টাইফুনটি স্থানীয় সময় সকাল ৭টার দিকে উত্তরাঞ্চলীয় টিশুসিমা দ্বীপের ৩০ কিলোমিটার দূরে অবস্থান করছিল। এ সময়ে বাতাসের গতিবেগ ছিল ঘন্টায় ২১৬ কিলোমিটার। ঝড়টি বড়ো ও শক্তিশালী রূপ নিতে পারে এ ধরণের পূর্বাভাস থাকলেও রোববার রাত থেকে এটি দূর্বল হতে শুরু করে।",শক্তিশালী টাইফুন হাইশেন জাপানে আঘাত হানার পর সোমবার দক্ষিণ কোরিয়ার দিকে ধেয়ে যাচ্ছে। টাইফুনের প্রভাবে জাপানে প্রবল বাতাস ও,আন্তর্জাতিক,
"সিরিয়ার মধ্যাঞ্চলীয় হোমস প্রদেশের টি-ফোর বিমানঘাঁটির ওপর ইহুদিবাদী ইসরাইল নতুন করে ক্ষেপণাস্ত্র আগ্রাসন চালিয়েছে। গতকাল (বুধবার) রাত ১০টা ২৩ মিনিটের সময় সিরিয়ার দক্ষিণাঞ্চলীয় আল-তানফ এলাকা থেকে টি-ফোর বিমান ঘাঁটি লক্ষ্য করে ক্ষেপণাস্ত্র হামলা চালায়। সিরিয়ার রাষ্ট্রীয় বার্তা সংস্থা সানা এ খবর দিয়েছে।

একটি সামরিক সূত্রের বরাত দিয়ে সানার রিপোর্টে বলা হয়েছে, সিরিয়ার বিমান প্রতিরক্ষা বাহিনী বেশিরভাগ ক্ষেপণাস্ত্র ভূপাতিত করতে সক্ষম হয় এবং শুধুমাত্র কিছু বস্তুগত ক্ষয়ক্ষতি হয়েছে।

এর দুই দিন আগে দখলদার ইসরাইলি বাহিনী সিরিয়ার রাজধানী দামেস্কের দক্ষিণে একটি সামরিক স্থাপনা লক্ষ্য করে হামলা চালায়। ওই হামলায় দুই সেনা নিহত এবং সাতজন আহত হন। সোমবারের হামলা অধিকৃত গোলান মালভূমি থেকে পরিচালনা করে ইসরাইলি বাহিনী।

২০১১ সাল থেকে সিরিয়া বিদেশি মদদপুষ্ট উগ্র সন্ত্রাসীদের সহিংসতা মোকাবেলায় করে আসছে। সিরিয়ার সরকার বলছে, এসব উগ্র তাকাফিরি সন্ত্রাসীদেরকে আমেরিকা এবং ইসরাইল সব ধরনের সহযোগিতা দিচ্ছে। এখন তাদের পতন ঠেকাতে ইসরাইল সিরিয়ার সেনাবাহিনী এবং সামরিক স্থাপনার ওপর মাঝেমধ্যে হামলা চালিয়ে সন্ত্রাসীদের মনোবল চাঙ্গা রাখার চেষ্টা করছে।-পার্স টুডে",সিরিয়ার মধ্যাঞ্চলীয় হোমস প্রদেশের টি-ফোর বিমানঘাঁটির ওপর ইহুদিবাদী ইসরাইল নতুন করে ক্ষেপণাস্ত্র আগ্রাসন চালিয়েছে। গতকাল (বুধবার) রাত ১০টা ২৩ মিনিটের সময় সিরিয়ার দক্ষিণাঞ্চলীয় আল-তানফ এলাকা থেকে টি-ফোর বিমান ঘাঁটি লক্ষ্য করে,আন্তর্জাতিক,
"মাছি তাড়াতে গিয়ে উড়িয়ে দিলেন তার বাড়ির একাংশ। গল্পের মতো মনে হলেও ঘটনাটি ঘটেছে ফ্রান্সের ডরডোন এলাকার পারকোল-চেনড গ্রামে। 

৮০ বছরের এই এই বৃদ্ধা রাতের খাবার খেতে বসেছিলেন,তখনই বাঁধে বিপত্তি। ঠিক তখনই তার চারপাশে ভনভন করতে শুরু করে মাছিটি। এতে বেশ বিরক্তই হন তিনি। বিরক্ত হয়ে বাসায় থাকা মশা-মাছি মারবার ইলেকট্রিক র‍্যাকেটটি হাতে তুলে নেন তিনি। কিন্তু কে জানতো, ঘরের কোনায় রাখা গ্যাস ক্যানিস্টারটি লিক হয়ে এরই মধ্যে রান্নাঘরের মধ্যে জমে গেছে বেশ কিছু পরিমান দাহ্য গ্যাস।

যেই না তিনি মাছিটিকে মারবার জন্য র‍্যাকেটের সুইচ অন করলেন, সেই মুহূর্তে বাতাসে ভাসমান গ্যাসের সংস্পর্শে এসে র‍্যাকেটের বৈদ্যুতিক স্ফূলিঙ্গ বেশ বড়সড় বিস্ফোরণ ঘটিয়ে ফেলে। এতে পুরোপুরি ধসে যায় রান্নাঘর, ক্ষয়ক্ষতি হয় বাড়ির ছাদেরও।

তবে শুধুমাত্র হাত পুড়ে যাওয়া ছাড়া আর তেমন কোন ক্ষতিই হয়নি তার। মাছি মারতে গিয়ে ঘর উড়িয়ে দেয়া ব্যক্তিটি এখন রাত কাটাচ্ছেন স্থানীয় একটি ক্যাম্পসাইটে।

আর তার বাড়ির লোকেরা এখন সংস্কার করছেন ক্ষতিগ্রস্ত বসতবাড়িটির!",মাছি তাড়াতে গিয়ে উড়িয়ে দিলেন তার বাড়ির একাংশ। গল্পের মতো মনে হলেও ঘটনাটি ঘটেছে,আন্তর্জাতিক,
"দীর্ঘ সংঘাতের ২৪ বছর পর আফগান সরকার ও তালেবান প্রতিনিধিদের মধ্যকার ঐতিহাসিক শান্তি আলোচনা শুরু হয়েছে৷ শনিবার কাতারের রাজধানী দোহায় এই শান্তি আলোচনা শুরু হয়েছে।

আলোচনায় আফগান সরকারের পক্ষ থেকে সাবেক গোয়েন্দা প্রধান মাসুম স্টানেকজাইয়ের নেতৃত্বে ২১ সদস্যের একটি দল অংশ নিয়েছে। তালেবানদের পক্ষে নেতৃত্ব দিচ্ছেন মৌলভী আব্দুল হাকিম, যিনি সশস্ত্র সংগঠনটির প্রধান বিচারপতি।

উদ্বোধনী অনুষ্ঠানে অংশ নিতে কাতারে গেছেন যুক্তরাষ্ট্রের পররাষ্ট্রমন্ত্রী মাইক পম্পেও।

গত ফেব্রুয়ারিতে যুক্তরাষ্ট্র এবং তালেবানদের মধ্যে নিরাপত্তা চুক্তি হওয়ার পরই এই শান্তি আলোচনা অনুষ্ঠিত হওয়ার কথা ছিল। তবে আফগান বন্দি বিনিময়ের প্রতিশ্রুতি বাস্তবায়ন করতে দেরি হওয়ায় তার বিলম্ব ঘটে।

তবে এ আলোচনা থেকে দ্রুত উল্লেখযোগ্য ফলাফল নাও আসতে পারে বলে মনে করা হচ্ছে।

শান্তি আলোচনার শুরুতে বক্তব্য রাখেন যুক্তরাষ্ট্রের পররাষ্ট্রমন্ত্রী মাইক পম্পেও। তিনি বলেন, এই শান্তি আলোচনায় সফল হতে কঠোর পরিশ্রম এবং বড় ধরনের ত্যাগ প্রয়োজন।

যুক্তরাষ্ট্রে ৯/১১ ভয়াবহ বিমান হামলার ১৯তম বার্ষিকীর একদিন পর আফগান শান্তি আলোচনা শুরু হলো। ওই হামলার সঙ্গে জড়িত অভিযোগে আল-কায়েদা নেতা ওসামা বিন লাদেনকে হস্তান্তর করতে রাজি না হওয়ায় তালেবান সরকারকে উৎখাতে যুক্তরাষ্ট্র আফগানিস্তানে অভিযান চালায়।",দীর্ঘ সংঘাতের ২৪ বছর পর আফগান সরকার ও তালেবান প্রতিনিধিদের মধ্যকার ঐতিহাসিক শান্তি আলোচনা শুরু হয়েছে৷ শনিবার কাতারের রাজধানী দোহায়,আন্তর্জাতিক,https://www.channelionline.com/%e0%a6%86%e0%a6%ab%e0%a6%97%e0%a6%be%e0%a6%a8-%e0%a6%b8%e0%a6%b0%e0%a6%95%e0%a6%be%e0%a6%b0-%e0%a6%93-%e0%a6%a4%e0%a6%be%e0%a6%b2%e0%a7%87%e0%a6%ac%e0%a6%be%e0%a6%a8%e0%a7%87%e0%a6%b0-%e0%a6%90/
